"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150060 Altamira";2;1;3;2;2;1;4;1;-;-;1;1;18
"150080 Ananindeua";5;7;9;7;9;5;3;11;11;10;1;2;80
"150085 Anapu";-;-;-;4;-;-;-;-;-;-;1;-;5
"150090 Augusto Corrêa";2;1;32;9;16;3;-;-;1;-;-;1;65
"150095 Aurora do Pará";-;4;8;-;-;-;1;1;1;-;1;-;16
"150120 Baião";-;4;19;4;2;1;-;-;-;-;-;-;30
"150125 Bannach";-;-;1;-;-;-;-;-;-;-;-;2;3
"150130 Barcarena";3;2;2;2;-;1;2;10;-;1;1;-;24
"150140 Belém";39;31;43;45;35;34;16;15;20;9;3;4;294
"150145 Belterra";2;2;4;3;3;-;2;1;-;-;-;-;17
"150150 Benevides";1;2;1;2;1;-;-;-;-;-;2;-;9
"150160 Bonito";1;1;-;-;1;-;-;-;-;-;-;-;3
"150170 Bragança";1;1;2;3;11;2;1;2;-;-;-;-;23
"150172 Brasil Novo";-;-;-;1;3;1;-;3;1;-;-;-;9
"150175 Brejo Grande do Araguaia";-;-;3;10;3;-;-;-;-;-;-;-;16
"150178 Breu Branco";-;2;77;30;32;4;-;-;-;-;-;-;145
"150210 Cametá";1;-;-;1;-;-;-;-;-;2;-;-;4
"150215 Canaã dos Carajás";-;9;4;3;5;1;2;-;-;2;-;6;32
"150220 Capanema";1;4;9;11;5;1;2;1;5;2;-;-;41
"150230 Capitão Poço";3;3;16;11;4;3;2;-;-;-;-;-;42
"150240 Castanhal";10;22;26;12;9;2;4;20;14;-;-;1;120
"150270 Conceição do Araguaia";4;16;20;20;10;10;9;2;3;2;2;1;99
"150275 Concórdia do Pará";-;-;-;1;-;-;1;2;-;-;-;-;4
"150276 Cumaru do Norte";-;-;-;1;7;-;-;-;1;-;-;-;9
"150290 Curuçá";-;-;1;10;6;1;1;-;-;1;-;-;20
"150293 Dom Eliseu";2;-;2;2;-;-;-;-;-;-;-;3;9
"150304 Floresta do Araguaia";6;18;19;22;14;1;-;-;1;-;-;2;83
"150307 Garrafão do Norte";-;-;-;-;-;-;-;1;-;-;1;-;2
"150309 Goianésia do Pará";23;19;9;22;37;23;14;27;14;11;3;20;222
"150310 Gurupá";-;-;1;-;-;-;-;-;-;-;-;-;1
"150320 Igarapé-Açu";-;2;1;-;-;-;1;-;-;-;1;-;5
"150330 Igarapé-Miri";-;-;-;1;-;-;1;3;1;-;-;-;6
"150340 Inhangapi";-;52;15;3;-;1;-;-;-;-;-;2;73
"150345 Ipixuna do Pará";-;1;-;-;2;1;4;-;-;-;-;-;8
"150350 Irituia";-;3;4;2;-;-;3;-;-;-;1;-;13
"150360 Itaituba";-;2;2;1;1;1;6;9;4;-;2;2;30
"150370 Itupiranga";1;-;-;-;-;-;1;1;-;-;4;3;10
"150380 Jacundá";-;-;1;-;-;-;-;-;-;-;1;1;3
"150390 Juruti";-;1;-;-;1;-;1;-;-;-;1;-;4
"150400 Limoeiro do Ajuru";-;-;-;1;1;-;-;-;-;1;-;-;3
"150405 Mãe do Rio";1;5;111;11;6;4;-;1;2;2;3;7;153
"150410 Magalhães Barata";-;-;1;2;-;-;-;-;-;-;-;-;3
"150420 Marabá";6;5;5;1;1;-;-;1;1;1;1;2;24
"150430 Maracanã";-;2;7;3;2;3;-;7;2;-;-;-;26
"150440 Marapanim";13;2;39;24;8;19;7;42;23;-;-;1;178
"150442 Marituba";7;9;8;12;2;3;2;5;4;1;5;2;60
"150445 Medicilândia";1;-;6;4;3;3;5;3;2;1;-;-;28
"150460 Mocajuba";-;-;-;-;-;-;-;1;1;-;-;-;2
"150470 Moju";-;-;-;-;-;-;-;-;1;-;22;34;57
"150475 Mojuí dos Campos";-;-;-;-;-;2;1;3;-;1;-;-;7
"150495 Nova Esperança do Piriá";-;-;1;2;1;4;-;-;2;2;1;-;13
"150497 Nova Ipixuna";1;5;-;-;-;-;-;-;-;2;-;-;8
"150500 Nova Timboteua";-;-;8;20;7;8;3;26;7;3;1;-;83
"150503 Novo Progresso";8;8;10;10;5;13;7;-;3;2;1;1;68
"150506 Novo Repartimento";1;1;-;39;31;6;4;7;1;1;-;1;92
"150510 Óbidos";-;1;-;-;-;-;-;-;-;-;-;-;1
"150530 Oriximiná";1;-;-;1;-;-;-;3;-;2;-;3;10
"150543 Ourilândia do Norte";-;1;3;5;1;1;-;1;3;-;-;-;15
"150548 Pacajá";3;6;5;27;7;4;1;-;1;-;-;1;55
"150549 Palestina do Pará";3;5;8;9;1;-;-;-;-;-;-;1;27
